"","titles","authors","subjects","abstracts","metadata"
"40","what's ""up"" with vision-language models? investigating their struggle with spatial reasoning","amita kamath, jack hessel, kai-wei chang","computation and language (cs.cl)","recent vision-language (vl) models are powerful, but can they reliably distinguish ""right"" from ""left""? we curate three new corpora to quantify model comprehension of such basic spatial relations. these tests isolate spatial reasoning more precisely than existing datasets like vqav2, e.g., our what'sup benchmark contains sets of photographs varying only the spatial relations of objects, keeping their identity fixed (see figure 1: models must comprehend not only the usual case of a dog under a table, but also, the same dog on top of the same table). we evaluate 18 vl models, finding that all perform poorly, e.g., blip finetuned on vqav2, which nears human parity on vqav2, achieves 56% accuracy on our benchmarks vs. humans at 99%. we conclude by studying causes of this surprising behavior, finding: 1) that popular vision-language pretraining corpora like laion-2b contain little reliable data for learning spatial relationships; and 2) that basic modeling interventions like up-weighting preposition-containing instances or fine-tuning on our corpora are not sufficient to address the challenges our benchmarks pose. we are hopeful that these corpora will facilitate further research, and we release our data and code at this https url.","mon, 30 oct 2023 17:50:15 utc (13,534 kb)"
"41","drm: mastering visual reinforcement learning through dormant ratio minimization","guowei xu, ruijie zheng, yongyuan liang, xiyao wang, zhecheng yuan, tianying ji, yu luo, xiaoyu liu, jiaxin yuan, pu hua, shuzhen li, yanjie ze, hal daumé iii, furong huang, huazhe xu","machine learning (cs.lg)","visual reinforcement learning (rl) has shown promise in continuous control tasks. despite its progress, current algorithms are still unsatisfactory in virtually every aspect of the performance such as sample efficiency, asymptotic performance, and their robustness to the choice of random seeds. in this paper, we identify a major shortcoming in existing visual rl methods that is the agents often exhibit sustained inactivity during early training, thereby limiting their ability to explore effectively. expanding upon this crucial observation, we additionally unveil a significant correlation between the agents' inclination towards motorically inactive exploration and the absence of neuronal activity within their policy networks. to quantify this inactivity, we adopt dormant ratio as a metric to measure inactivity in the rl agent's network. empirically, we also recognize that the dormant ratio can act as a standalone indicator of an agent's activity level, regardless of the received reward signals. leveraging the aforementioned insights, we introduce drm, a method that uses three core mechanisms to guide agents' exploration-exploitation trade-offs by actively minimizing the dormant ratio. experiments demonstrate that drm achieves significant improvements in sample efficiency and asymptotic performance with no broken seeds (76 seeds in total) across three continuous control benchmark environments, including deepmind control suite, metaworld, and adroit. most importantly, drm is the first model-free algorithm that consistently solves tasks in both the dog and manipulator domains from the deepmind control suite as well as three dexterous hand manipulation tasks without demonstrations in adroit, all based on pixel observations.","mon, 30 oct 2023 15:50:56 utc (3,716 kb)[v2] wed, 14 feb 2024 03:56:25 utc (3,582 kb)"
"42","on the theory of risk-aware agents: bridging actor-critic and economics","michal nauman, marek cygan","machine learning (cs.lg)","risk-aware reinforcement learning (rl) algorithms like sac and td3 were shown empirically to outperform their risk-neutral counterparts in a variety of continuous-action tasks. however, the theoretical basis for the pessimistic objectives these algorithms employ remains unestablished, raising questions about the specific class of policies they are implementing. in this work, we apply the expected utility hypothesis, a fundamental concept in economics, to illustrate that both risk-neutral and risk-aware rl goals can be interpreted through expected utility maximization using an exponential utility function. this approach reveals that risk-aware policies effectively maximize value certainty equivalent, aligning them with conventional decision theory principles. furthermore, we propose dual actor-critic (dac). dac is a risk-aware, model-free algorithm that features two distinct actor networks: a pessimistic actor for temporal-difference learning and an optimistic actor for exploration. our evaluations of dac across various locomotion and manipulation tasks demonstrate improvements in sample efficiency and final performance. remarkably, dac, while requiring significantly less computational resources, matches the performance of leading model-based methods in the complex dog and humanoid domains.","mon, 30 oct 2023 13:28:06 utc (10,288 kb)[v2] sat, 2 mar 2024 12:40:15 utc (34,597 kb)"
"43","attribute based interpretable evaluation metrics for generative models","dongkyun kim, mingi kwon, youngjung uh","computer vision and pattern recognition (cs.cv)","when the training dataset comprises a 1:1 proportion of dogs to cats, a generative model that produces 1:1 dogs and cats better resembles the training species distribution than another model with 3:1 dogs and cats. can we capture this phenomenon using existing metrics? unfortunately, we cannot, because these metrics do not provide any interpretability beyond ""diversity"". in this context, we propose a new evaluation protocol that measures the divergence of a set of generated images from the training set regarding the distribution of attribute strengths as follows. single-attribute divergence (sad) measures the divergence regarding pdfs of a single attribute. paired-attribute divergence (pad) measures the divergence regarding joint pdfs of a pair of attributes. they provide which attributes the models struggle. for measuring the attribute strengths of an image, we propose heterogeneous clipscore (hcs) which measures the cosine similarity between image and text vectors with heterogeneous initial points. with sad and pad, we reveal the following about existing generative models. projectedgan generates implausible attribute relationships such as a baby with a beard even though it has competitive scores of existing metrics. diffusion models struggle to capture diverse colors in the datasets. the larger sampling timesteps of latent diffusion model generate the more minor objects including earrings and necklaces. stable diffusion v1.5 better captures the attributes than v2.1. our metrics lay a foundation for explainable evaluations of generative models.","thu, 26 oct 2023 09:25:09 utc (28,659 kb)"
"44","federated quantum machine learning with differential privacy","rod rofougaran, shinjae yoo, huan-hsin tseng, samuel yen-chi chen","quantum physics (quant-ph)","the preservation of privacy is a critical concern in the implementation of artificial intelligence on sensitive training data. there are several techniques to preserve data privacy but quantum computations are inherently more secure due to the no-cloning theorem, resulting in a most desirable computational platform on top of the potential quantum advantages. there have been prior works in protecting data privacy by quantum federated learning (qfl) and quantum differential privacy (qdp) studied independently. however, to the best of our knowledge, no prior work has addressed both qfl and qdp together yet. here, we propose to combine these privacy-preserving methods and implement them on the quantum platform, so that we can achieve comprehensive protection against data leakage (qfl) and model inversion attacks (qdp). this implementation promises more efficient and secure artificial intelligence. in this paper, we present a successful implementation of these privacy-preservation methods by performing the binary classification of the cats vs dogs dataset. using our quantum-classical machine learning model, we obtained a test accuracy of over 0.98, while maintaining epsilon values less than 1.3. we show that federated differentially private training is a viable privacy preservation method for quantum machine learning on noisy intermediate-scale quantum (nisq) devices.","tue, 10 oct 2023 19:52:37 utc (2,090 kb)"
"45","blind dates: examining the expression of temporality in historical photographs","alexandra barancová, melvin wevers, nanne van noord","computer vision and pattern recognition (cs.cv)","this paper explores the capacity of computer vision models to discern temporal information in visual content, focusing specifically on historical photographs. we investigate the dating of images using openclip, an open-source implementation of clip, a multi-modal language and vision model. our experiment consists of three steps: zero-shot classification, fine-tuning, and analysis of visual content. we use the \textit{de boer scene detection} dataset, containing 39,866 gray-scale historical press photographs from 1950 to 1999. the results show that zero-shot classification is relatively ineffective for image dating, with a bias towards predicting dates in the past. fine-tuning openclip with a logistic classifier improves performance and eliminates the bias. additionally, our analysis reveals that images featuring buses, cars, cats, dogs, and people are more accurately dated, suggesting the presence of temporal markers. the study highlights the potential of machine learning models like openclip in dating images and emphasizes the importance of fine-tuning for accurate temporal analysis. future research should explore the application of these findings to color photographs and diverse datasets.","tue, 10 oct 2023 13:51:24 utc (1,180 kb)"
"46","towards lexical analysis of dog vocalizations via online videos","yufei wang, chunhao zhang, jieyi huang, mengyue wu, kenny zhu","sound (cs.sd)","deciphering the semantics of animal language has been a grand challenge. this study presents a data-driven investigation into the semantics of dog vocalizations via correlating different sound types with consistent semantics. we first present a new dataset of shiba inu sounds, along with contextual information such as location and activity, collected from youtube with a well-constructed pipeline. the framework is also applicable to other animal species. based on the analysis of conditioned probability between dog vocalizations and corresponding location and activity, we discover supporting evidence for previous heuristic research on the semantic meaning of various dog sounds. for instance, growls can signify interactions. furthermore, our study yields new insights that existing word types can be subdivided into finer-grained subtypes and minimal semantic unit for shiba inu is word-related. for example, whimper can be subdivided into two types, attention-seeking and discomfort.","thu, 21 sep 2023 23:53:14 utc (28,992 kb)"
"47","does my dog ''speak'' like me? the acoustic correlation between pet dogs and their human owners","jieyi huang, chunhao zhang, yufei wang, mengyue wu, kenny zhu","sound (cs.sd)","how hosts language influence their pets' vocalization is an interesting yet underexplored problem. this paper presents a preliminary investigation into the possible correlation between domestic dog vocal expressions and their human host's language environment. we first present a new dataset of shiba inu dog vocals from youtube, which provides 7500 clean sound clips, including their contextual information of these vocals and their owner's speech clips with a carefully-designed data processing pipeline. the contextual information includes the scene category in which the vocal was recorded, the dog's location and activity. with a classification task and prominent factor analysis, we discover significant acoustic differences in the dog vocals from the two language environments. we further identify some acoustic features from dog vocalizations that are potentially correlated to their host language patterns.","thu, 21 sep 2023 23:49:21 utc (14,599 kb)"
"48","visible and nir image fusion algorithm based on information complementarity","zhuo li, bo li","computer vision and pattern recognition (cs.cv)","visible and near-infrared(nir) band sensors provide images that capture complementary spectral radiations from a scene. and the fusion of the visible and nir image aims at utilizing their spectrum properties to enhance image quality. however, currently visible and nir fusion algorithms cannot well take advantage of spectrum properties, as well as lack information complementarity, which results in color distortion and artifacts. therefore, this paper designs a complementary fusion model from the level of physical signals. first, in order to distinguish between noise and useful information, we use two layers of the weight-guided filter and guided filter to obtain texture and edge layers, respectively. second, to generate the initial visible-nir complementarity weight map, the difference maps of visible and nir are filtered by the extend-dog filter. after that, the significant region of nir night-time compensation guides the initial complementarity weight map by the arctani function. finally, the fusion images can be generated by the complementarity weight maps of visible and nir images, respectively. the experimental results demonstrate that the proposed algorithm can not only well take advantage of the spectrum properties and the information complementarity, but also avoid color unnatural while maintaining naturalness, which outperforms the state-of-the-art.","tue, 19 sep 2023 11:07:24 utc (3,889 kb)"
"49","where do free-ranging dogs rest? a population level study reveals hidden patterns in resting site choice","sourabh biswas, kalyan ghosh, kaushikee sarkar, anindita bhadra","populations and evolution (q-bio.pe)","free-ranging dogs (frds) in human-dominated areas encounter obstacles such as noise, pollution, limited food sources, and anthropogenic disturbance while resting. since frds have survived as a population in india, as in many other parts of the global south for centuries, they provide a unique opportunity to study adaptation of animals to the human-dominated urban landscape. we documented factors impacting resting behaviour and site preferences in three states of india, for 284 dogs, leading to 6047 observations over 3 years. 7 physical parameters of the resting sites, along with the biological factors like mating and pup-rearing and time of day affected their choice of resting sites. the frequency-rank distribution of the unique combinations in which the parameters were selected followed a power law distribution, which suggests underlying biological reasons for the observed preferences. further, 3 of these parameters showed maximum consistency of choice in terms of the sub-parameters selected, explaining 30% of the observations. frds prefer to rest close to their resource sites within the territory, at a place that enabled maximum visibility of the surroundings. they chose such sites in the core of the territory for sleeping. at other times, they chose such sites away from the core, and were less restive, thus allowing for immediate response in case of intrusion or threat. they generally avoided anthropogenic disturbance for sleeping, and preferred areas with shade.incorporating these aspects into urban management plans can promote human-dog cooperation and reduce situations of conflict. we envisage more inclusive urban areas in the future, that can allow for co-existence of the humans and their oldest companions in the commensal relationship that has been maintained for hundreds of generations of dogs in this part of the world.","sat, 16 sep 2023 17:33:40 utc (976 kb)"
"50","seeing-eye quadruped navigation with force responsive locomotion control","david defazio, eisuke hirota, shiqi zhang","robotics (cs.ro)","seeing-eye robots are very useful tools for guiding visually impaired people, potentially producing a huge societal impact given the low availability and high cost of real guide dogs. although a few seeing-eye robot systems have already been demonstrated, none considered external tugs from humans, which frequently occur in a real guide dog setting. in this paper, we simultaneously train a locomotion controller that is robust to external tugging forces via reinforcement learning (rl), and an external force estimator via supervised learning. the controller ensures stable walking, and the force estimator enables the robot to respond to the external forces from the human. these forces are used to guide the robot to the global goal, which is unknown to the robot, while the robot guides the human around nearby obstacles via a local planner. experimental results in simulation and on hardware show that our controller is robust to external forces, and our seeing-eye system can accurately detect force direction. we demonstrate our full seeing-eye robot system on a real quadruped robot with a blindfolded human. the video can be seen at our project page: this https url","fri, 8 sep 2023 15:02:46 utc (1,126 kb)[v2] thu, 12 oct 2023 17:48:22 utc (1,128 kb)"
"51","dense object grounding in 3d scenes","wencan huang, daizong liu, wei hu","computer vision and pattern recognition (cs.cv)","localizing objects in 3d scenes according to the semantics of a given natural language is a fundamental yet important task in the field of multimedia understanding, which benefits various real-world applications such as robotics and autonomous driving. however, the majority of existing 3d object grounding methods are restricted to a single-sentence input describing an individual object, which cannot comprehend and reason more contextualized descriptions of multiple objects in more practical 3d cases. to this end, we introduce a new challenging task, called 3d dense object grounding (3d dog), to jointly localize multiple objects described in a more complicated paragraph rather than a single sentence. instead of naively localizing each sentence-guided object independently, we found that dense objects described in the same paragraph are often semantically related and spatially located in a focused region of the 3d scene. to explore such semantic and spatial relationships of densely referred objects for more accurate localization, we propose a novel stacked transformer based framework for 3d dog, named 3dogsformer. specifically, we first devise a contextual query-driven local transformer decoder to generate initial grounding proposals for each target object. then, we employ a proposal-guided global transformer decoder that exploits the local object features to learn their correlation for further refining initial grounding proposals. extensive experiments on three challenging benchmarks (nr3d, sr3d, and scanrefer) show that our proposed 3dogsformer outperforms state-of-the-art 3d single-object grounding methods and their dense-object variants by significant margins.","tue, 5 sep 2023 13:27:19 utc (3,975 kb)"
"52","similarity between compact extremely red objects discovered with jwst in cosmic dawn and blue-excess dust-obscured galaxies known in cosmic noon","akatoki noboriguchi, akio k. inoue, tohru nagao, yoshiki toba, toru misawa","astrophysics of galaxies (astro-ph.ga)","spatially compact objects with extremely red color in the rest-frame optical to near-infrared (0.4--1 ${\rm \mu m}$) and blue color in the rest-frame ultraviolet (uv; 0.2--0.4 ${\rm \mu m}$) have been discovered at $5 < z < 9$ using the james webb space telescope (jwst). these extremely red objects (jwst-eros) exhibit spectral energy distributions (seds) that are difficult to explain using a single component of either star-forming galaxies or quasars, leading to two-component models in which the blue uv and extremely red optical are explained using less-dusty and dusty spectra of galaxies or quasars, respectively. here, we report the remarkable similarity in seds between jwst-eros and blue-excess dust-obscured galaxies (bludogs) identified at $2 < z < 3$. bludogs are a population of active galactic nuclei (agns) with blackhole masses of $\sim10^{8-9}$ m$_\odot$, which are one order of magnitude larger than those in some jwst-eros. the eddington ratios of bludogs are one or higher, whereas those of jwst-eros are in the range of 0.1--1. therefore, jwst-eros are less massive, less active, and more common counterparts in higher-$z$ of bludogs in cosmic noon. conversely, jwst-eros have a significantly higher fraction of those with blue-excess than dogs. we present the average uv spectra of bludogs as a comparison to jwst-eros and discuss a coherent evolutionary scenario for dusty agn populations.","sat, 2 sep 2023 14:44:34 utc (474 kb)[v2] tue, 5 dec 2023 16:44:31 utc (583 kb)"
"53","causality-based feature importance quantifying methods: pn-fi, ps-fi and pns-fi","shuxian du, yaxiu sun, changyi du","artificial intelligence (cs.ai)","in the current ml field models are getting larger and more complex, and data used for model training are also getting larger in quantity and higher in dimensions. therefore, in order to train better models, and save training time and computational resources, a good feature selection (fs) method in the preprocessing stage is necessary. feature importance (fi) is of great importance since it is the basis of feature selection. therefore, this paper creatively introduces the calculation of pn (the probability of necessity), pn (the probability of sufficiency), and pns (the probability of necessity and sufficiency) of causality into quantifying feature importance and creates 3 new fi measuring methods, pn-fi, which means how much importance a feature has in image recognition tasks, ps-fi that means how much importance a feature has in image generating tasks, and pns-fi which measures both. the main body of this paper is three rcts, with whose results we show how ps-fi, pn-fi, and pns-fi of 3 features, dog nose, dog eyes, and dog mouth are calculated. the experiments show that firstly, fi values are intervals with tight upper and lower bounds. secondly, the feature dog eyes has the most importance while the other two have almost the same. thirdly, the bounds of pns and pn are tighter than the bounds of ps.","mon, 28 aug 2023 10:24:51 utc (1,265 kb)[v2] mon, 18 sep 2023 06:28:41 utc (408 kb)"
"54","adversarial illusions in multi-modal embeddings","tingwei zhang, rishi jha, eugene bagdasaryan, vitaly shmatikov","cryptography and security (cs.cr)","multi-modal embeddings encode texts, images, sounds, videos, etc., into a single embedding space, aligning representations across different modalities (e.g., associate an image of a dog with a barking sound). in this paper, we show that multi-modal embeddings can be vulnerable to an attack we call ""adversarial illusions."" given an image or a sound, an adversary can perturb it to make its embedding close to an arbitrary, adversary-chosen input in another modality. these attacks are cross-modal and targeted: the adversary is free to align any image and any sound with any target of his choice. adversarial illusions exploit proximity in the embedding space and are thus agnostic to downstream tasks and modalities, enabling a wholesale compromise of current and future downstream tasks and modalities not available to the adversary. using imagebind and audioclip embeddings, we demonstrate how adversarially aligned inputs, generated without knowledge of specific downstream tasks, mislead image generation, text generation, zero-shot classification, and audio retrieval. we investigate transferability of illusions across different embeddings and develop a black-box version of our method that we use to demonstrate the first adversarial alignment attack on amazon's commercial, proprietary titan embedding. finally, we analyze countermeasures and evasion attacks.","tue, 22 aug 2023 21:57:22 utc (3,863 kb)[v2] fri, 6 oct 2023 10:58:23 utc (3,622 kb)[v3] sat, 17 feb 2024 02:26:27 utc (15,339 kb)"
"55","digitally-enhanced dog behavioral testing: getting help from the machine","nareed farhat, teddy lazebnik, joke monteny, christel palmyre henri moons, eline wydooghe, dirk van der linden, anna zamansky","human-computer interaction (cs.hc)","the assessment of behavioral traits in dogs is a well-studied challenge due to its many practical applications such as selection for breeding, prediction of working aptitude, chances of being adopted, etc. most methods for assessing behavioral traits are questionnaire or observation-based, which require a significant amount of time, effort and expertise. in addition, these methods are also susceptible to subjectivity and bias, making them less reliable. in this study, we proposed an automated computational approach that may provide a more objective, robust and resource-efficient alternative to current solutions. using part of a stranger test protocol, we tested n=53 dogs for their response to the presence and benign actions of a stranger. dog coping styles were scored by three experts. moreover, data were collected from their handlers using the canine behavioral assessment and research questionnaire (c-barq). an unsupervised clustering of the dogs' trajectories revealed two main clusters showing a significant difference in the stranger-directed fear c-barq factor, as well as a good separation between (sufficiently) relaxed dogs and dogs with excessive behaviors towards strangers based on expert scoring. based on the clustering, we obtained a machine learning classifier for expert scoring of coping styles towards strangers, which reached an accuracy of 78%. we also obtained a regression model predicting c-barq factor scores with varying performance, the best being owner-directed aggression (with a mean average error of 0.108) and excitability (with a mean square error of 0.032). this case study demonstrates a novel paradigm of digitally enhanced canine behavioral testing.","wed, 26 jul 2023 14:48:30 utc (5,659 kb)"
"56","learning gabor texture features for fine-grained recognition","lanyun zhu, tianrun chen, jianxiong yin, simon see, jun liu","computer vision and pattern recognition (cs.cv)","extracting and using class-discriminative features is critical for fine-grained recognition. existing works have demonstrated the possibility of applying deep cnns to exploit features that distinguish similar classes. however, cnns suffer from problems including frequency bias and loss of detailed local information, which restricts the performance of recognizing fine-grained categories. to address the challenge, we propose a novel texture branch as complimentary to the cnn branch for feature extraction. we innovatively utilize gabor filters as a powerful extractor to exploit texture features, motivated by the capability of gabor filters in effectively capturing multi-frequency features and detailed local information. we implement several designs to enhance the effectiveness of gabor filters, including imposing constraints on parameter values and developing a learning method to determine the optimal parameters. moreover, we introduce a statistical feature extractor to utilize informative statistical information from the signals captured by gabor filters, and a gate selection mechanism to enable efficient computation by only considering qualified regions as input for texture extraction. through the integration of features from the gabor-filter-based texture branch and cnn-based semantic branch, we achieve comprehensive information extraction. we demonstrate the efficacy of our method on multiple datasets, including cub-200-2011, na-bird, stanford dogs, and gtos-mobile. state-of-the-art performance is achieved using our approach.","thu, 10 aug 2023 07:28:22 utc (6,129 kb)"
"57","from fake to real: pretraining on balanced synthetic images to prevent bias","maan qraitem, kate saenko, bryan a. plummer","computer vision and pattern recognition (cs.cv)","visual recognition models are prone to learning spurious correlations induced by a biased training set where certain conditions $b$ (\eg, indoors) are over-represented in certain classes $y$ (\eg, big dogs). synthetic data from generative models offers a promising direction to mitigate this issue by augmenting underrepresented conditions in the real dataset. however, this introduces another potential source of bias from generative model artifacts in the synthetic data. indeed, as we will show, prior work uses synthetic data to resolve the model's bias toward $b$, but it doesn't correct the models' bias toward the pair $(b, g)$ where $g$ denotes whether the sample is real or synthetic. thus, the model could simply learn signals based on the pair $(b, g)$ (\eg, synthetic indoors) to make predictions about $y$ (\eg, big dogs). to address this issue, we propose a two-step training pipeline that we call from fake to real (ffr). the first step of ffr pre-trains a model on balanced synthetic data to learn robust representations across subgroups. in the second step, ffr fine-tunes the model on real data using erm or common loss-based bias mitigation methods. by training on real and synthetic data separately, ffr avoids the issue of bias toward signals from the pair $(b, g)$. in other words, synthetic data in the first step provides effective unbiased representations that boosts performance in the second step. indeed, our analysis of high bias setting (99.9\%) shows that ffr improves performance over the state-of-the-art by 7-14\% over three datasets (celeba, utk-face, and spuco animals).","tue, 8 aug 2023 19:52:28 utc (732 kb)[v2] fri, 29 sep 2023 05:32:35 utc (3,132 kb)"
"58","beyond one-hot-encoding: injecting semantics to drive image classifiers","alan perotti, simone bertolotto, eliana pastor, andré panisson","computer vision and pattern recognition (cs.cv)","images are loaded with semantic information that pertains to real-world ontologies: dog breeds share mammalian similarities, food pictures are often depicted in domestic environments, and so on. however, when training machine learning models for image classification, the relative similarities amongst object classes are commonly paired with one-hot-encoded labels. according to this logic, if an image is labelled as 'spoon', then 'tea-spoon' and 'shark' are equally wrong in terms of training loss. to overcome this limitation, we explore the integration of additional goals that reflect ontological and semantic knowledge, improving model interpretability and trustworthiness. we suggest a generic approach that allows to derive an additional loss term starting from any kind of semantic information about the classification label. first, we show how to apply our approach to ontologies and word embeddings, and discuss how the resulting information can drive a supervised learning process. second, we use our semantically enriched loss to train image classifiers, and analyse the trade-offs between accuracy, mistake severity, and learned internal representations. finally, we discuss how this approach can be further exploited in terms of explainability and adversarial robustness. code repository: this https url","tue, 1 aug 2023 15:34:02 utc (5,093 kb)"
"59","stochastic positional embeddings improve masked image modeling","amir bar, florian bordes, assaf shocher, mahmoud assran, pascal vincent, nicolas ballas, trevor darrell, amir globerson, yann lecun","computer vision and pattern recognition (cs.cv)","masked image modeling (mim) is a promising self-supervised learning approach that enables learning from unlabeled images. despite its recent success, learning good representations through mim remains challenging because it requires predicting the right semantic content in accurate locations. for example, given an incomplete picture of a dog, we can guess that there is a tail, but we cannot determine its exact location. in this work, we propose to incorporate location uncertainty into mim by using stochastic positional embeddings (stop). specifically, we condition the model on stochastic masked token positions drawn from a gaussian distribution. stop reduces overfitting to location features and guides the model toward learning features that are more robust to location uncertainties. quantitatively, stop improves downstream mim performance on a variety of downstream tasks, including $+1.7\%$ on imagenet linear probing using vit-b, and $+2.5\%$ for vit-h using $1\%$ of the data.","mon, 31 jul 2023 17:59:08 utc (10,636 kb)[v2] tue, 27 feb 2024 18:59:14 utc (2,527 kb)"
"60","promptstyler: prompt-driven style generation for source-free domain generalization","junhyeong cho, gilhyun nam, sungyeon kim, hunmin yang, suha kwak","computer vision and pattern recognition (cs.cv)","in a joint vision-language space, a text feature (e.g., from ""a photo of a dog"") could effectively represent its relevant image features (e.g., from dog photos). also, a recent study has demonstrated the cross-modal transferability phenomenon of this joint space. from these observations, we propose promptstyler which simulates various distribution shifts in the joint space by synthesizing diverse styles via prompts without using any images to deal with source-free domain generalization. the proposed method learns to generate a variety of style features (from ""a s* style of a"") via learnable style word vectors for pseudo-words s*. to ensure that learned styles do not distort content information, we force style-content features (from ""a s* style of a [class]"") to be located nearby their corresponding content features (from ""[class]"") in the joint vision-language space. after learning style word vectors, we train a linear classifier using synthesized style-content features. promptstyler achieves the state of the art on pacs, vlcs, officehome and domainnet, even though it does not require any images for training.","thu, 27 jul 2023 21:14:46 utc (1,723 kb)[v2] tue, 15 aug 2023 08:30:45 utc (1,723 kb)"
"61","affective natural language generation of event descriptions through fine-grained appraisal conditions","yarik menchaca resendiz, roman klinger","computation and language (cs.cl)","models for affective text generation have shown a remarkable progress, but they commonly rely only on basic emotion theories or valance/arousal values as conditions. this is appropriate when the goal is to create explicit emotion statements (""the kid is happy.""). emotions are, however, commonly communicated implicitly. for instance, the emotional interpretation of an event (""their dog died."") does often not require an explicit emotion statement. in psychology, appraisal theories explain the link between a cognitive evaluation of an event and the potentially developed emotion. they put the assessment of the situation on the spot, for instance regarding the own control or the responsibility for what happens. we hypothesize and subsequently show that including appraisal variables as conditions in a generation framework comes with two advantages. (1) the generation model is informed in greater detail about what makes a specific emotion and what properties it has. this leads to text generation that better fulfills the condition. (2) the variables of appraisal allow a user to perform a more fine-grained control of the generated text, by stating properties of a situation instead of only providing the emotion category. our bart and t5-based experiments with 7 emotions (anger, disgust, fear, guilt, joy, sadness, shame), and 7 appraisals (attention, responsibility, control, circumstance, pleasantness, effort, certainty) show that (1) adding appraisals during training improves the accurateness of the generated texts by 10 pp in f1. further, (2) the texts with appraisal variables are longer and contain more details. this exemplifies the greater control for users.","wed, 26 jul 2023 07:34:19 utc (63 kb)"
"62","rare events of host switching for diseases using a sir model with mutations","yannick feld, alexander k. hartmann","physics and society (physics.soc-ph)","we numerically study disease dynamics that lead to the disease switching from one host species to another, resulting in diseases gaining the ability to infect, e.g., humans. unlike previous studies that focused on branching processes starting with the first infected humans, we begin by considering a disease pathogen that initially cannot infect humans. we model the entire process, starting from an infection in the animal population, including mutations that eventually enable the disease to cause an epidemic outbreak in the human population. we use an sir model on a network consisting of 132 dog and 1320 human nodes, with a single parameter representing the gene of the pathogen. we use numerical large-deviation techniques, specifically the $1/t$ wang-landau algorithm, to calculate the potentially very small probability of the host switching event. with this approach we are able to resolve probabilities as small as $10^{-120}$. additionally the $1/t$ wang-landau algorithm allows us to obtain the complete probability density function $p(c)$ of the cumulative fraction $c$ of infected humans, which is an indicator for the severity of the disease in the human population. we also calculate correlations of $c$ with selected quantities $q$ that characterize the outbreak. due to the application of the rare-event algorithm, this is possible for the entire range of $c$ values.","tue, 25 jul 2023 15:03:55 utc (8,015 kb)"
"63","using simulation to calibrate real data acquisition in veterinary medicine","krystian strzałka, szymon mazurek, maciej wielgosz, paweł russek, jakub caputa, daria łukasik, jan krupiński, jakub grzeszczyk, michał karwatowski, rafał frączek, ernest jamro, marcin pietroń, sebastian koryciak, agnieszka dąbrowska-boruch, kazimierz wiatr","machine learning (cs.lg)","this paper explores the innovative use of simulation environments to enhance data acquisition and diagnostics in veterinary medicine, focusing specifically on gait analysis in dogs. the study harnesses the power of blender and the blenderproc library to generate synthetic datasets that reflect diverse anatomical, environmental, and behavioral conditions. the generated data, represented in graph form and standardized for optimal analysis, is utilized to train machine learning algorithms for identifying normal and abnormal gaits. two distinct datasets with varying degrees of camera angle granularity are created to further investigate the influence of camera perspective on model accuracy. preliminary results suggest that this simulation-based approach holds promise for advancing veterinary diagnostics by enabling more precise data acquisition and more effective machine learning models. by integrating synthetic and real-world patient data, the study lays a robust foundation for improving overall effectiveness and efficiency in veterinary medicine.","fri, 21 jul 2023 16:50:10 utc (6,213 kb)"
"64","divide & bind your attention for improved generative semantic nursing","yumeng li, margret keuper, dan zhang, anna khoreva","computer vision and pattern recognition (cs.cv)","emerging large-scale text-to-image generative models, e.g., stable diffusion (sd), have exhibited overwhelming results with high fidelity. despite the magnificent progress, current state-of-the-art models still struggle to generate images fully adhering to the input prompt. prior work, attend & excite, has introduced the concept of generative semantic nursing (gsn), aiming to optimize cross-attention during inference time to better incorporate the semantics. it demonstrates promising results in generating simple prompts, e.g., ``a cat and a dog''. however, its efficacy declines when dealing with more complex prompts, and it does not explicitly address the problem of improper attribute binding. to address the challenges posed by complex prompts or scenarios involving multiple entities and to achieve improved attribute binding, we propose divide & bind. we introduce two novel loss objectives for gsn: a novel attendance loss and a binding loss. our approach stands out in its ability to faithfully synthesize desired objects with improved attribute alignment from complex prompts and exhibits superior performance across multiple evaluation benchmarks.","thu, 20 jul 2023 13:33:28 utc (48,477 kb)[v2] mon, 9 oct 2023 07:20:00 utc (48,476 kb)"
"65","important clues that facilitate visual emergence: three psychological experiments","jingmeng li, hui wei","neurons and cognition (q-bio.nc)","visual emergence is the phenomenon in which the visual system obtains a holistic perception after grouping and reorganizing local signals. the picture dalmatian dog is known for its use in explaining visual emergence. this type of image, which consists of a set of discrete black speckles (speckles), is called an emerging image. not everyone can find the dog in dalmatian dog, and among those who can, the time spent varies greatly. although gestalt theory summarizes perceptual organization into several principles, it remains ambiguous how these principles affect the perception of emerging images. this study, therefore, designed three psychological experiments to explore the factors that influence the perception of emerging images. in the first, we found that the density of speckles in the local area and the arrangements of some key speckles played a key role in the perception of an emerging case. we set parameters in the algorithm to characterize these two factors. we then automatically generated diversified emerging-test images (etis) through the algorithm and verified their effectiveness in two subsequent experiments.","mon, 10 jul 2023 13:46:43 utc (3,650 kb)"
